formula,pearson symbol,space group,e_form expt,mpid,e_form mp,oqmdid,e_form oqmd
Ag3Tm,oP8,Pnma,-0.2094,,,,
Al5Ni4Rh,cP2,Pm-3m,-0.7684,,,,
Al5Ni3Rh2,cP2,Pm-3m,-0.8019,,,,
Al5Ni2Rh3,cP2,Pm-3m,-0.8439,,,,
Al5NiRh4,cP2,Pm-3m,-1.0331,,,,
Ti5Ge3,hP16,P63/mcm,-0.7333,mp-568151,-0.69194752,,
V5Ge3,tI32,I4/mcm,-0.4586,,,,
Mn5Ge3,hP16,P63/mcm,-0.1884,mp-617291,-0.09905215,,
Fe5Ge3,hP6,P63/mmc,-0.1078,,,,
Co5Ge3,hP6,P63/mmc,-0.2029,,,,
Ni5Ge3,hP6,P63/mmc,-0.3222,,,,
Al0.1Ti0.25Zn0.65,cP4,Pm-3m,-0.2798,,,,
Al0.2Ti0.25Zn0.55,cP4,Pm-3m,-0.3109,,,,
Al0.3Ti0.25Zn0.45,cP4,Pm-3m,-0.3317,,,,
Al0.4Ti0.25Zn0.35,cP4,Pm-3m,-0.3524,,,,
Al2TiZn,cP4,Pm-3m,-0.3627,,,,
Al0.6Ti0.25Zn0.15,cP4,Pm-3m,-0.3731,,,,
InPd,cP2,Pm-3m,-0.7151,mp-21215,-0.50914396,55542,-0.50734224
In3Pd2,hP5,P-3m1,-0.5908,mp-510437,-0.48537325,11131,-0.48064328
Sn2Pd,tI48,I41/acd,-0.5182,mp-1573,-0.38963342,5782,-0.45171323
Zr2Co,tI12,I4/mcm,,mp-628,-0.25113077,29534,-0.26078137
ZrCo,cP2,Pm-3m,,mp-2283,-0.28187688,29537,-0.28789901
ZrCo2,cF24,Fd-3m,,mp-929,-0.30849371,31202,-0.32129482
Co4Zr,cF116,Fm-3m,,,,,
TiFe,cP2,Pm-3m,,mp-305,-0.41788011,19423,-0.44919251
TiFe2,hP12,P63/mmc,,mp-2454,-0.28543016,18688,-0.29783282
TiCo,cP2,Pm-3m,,mp-823,-0.39000135,18811,-0.4096884
TiCo2,hP24,P63/mmc,,,,29519,-0.32565458
Ti2Ni,cF96,Fd-3m,,mp-1808,-0.27684474,3230,-0.31275551
TiNi,cP2,Pm-3m,,mp-571,-0.34371282,116608,-0.3780194
TiNi3,hP16,P63/mmc,,mp-1409,-0.48423085,5776,-0.49490854
ZrFe2,cF24,Fd-3m,,mp-1718,-0.2832444,18350,-0.2798164
Zr2Ni,tI12,I4/mcm,,mp-328,-0.32276983,103369,-0.32468612
ZrNi,oS8,Cmcm,,mp-556,-0.45603911,17864,-0.45579793
Ni7Zr2,mS36,C12/m1,,mp-2717,-0.42918024,2288,-0.43017345
ZrNi5,cF24,F-43m,,mp-2439,-0.32116925,669588,-0.32486008
TiPd,cP2,Pm-3m,,mp-11546,-0.47762927,17970,-0.48671641
Ti3Pd5,tP8,P4/mmm,,mp-570199,-0.61720347,17974,-0.62559859
TiPd2,oI6,Immm,,,,21292,-0.64280199
TiPd3,hP16,P63/mmc,,,,21293,-0.64955897
Zr2Pd,tI6,I4/mmm,,mp-266,-0.48842171,17990,-0.48801108
ZrPd,cP2,Pm-3m,,mp-13496,-0.58775328,9972,-0.58504166
ZrPd2,tI6,I4/mmm,,mp-1018102,-0.76098711,30951,-0.75783907
ZrPd3,hP16,P63/mmc,,mp-30842,-0.82334471,17991,-0.8178025
HfNi5,cF24,F-43m,,mp-569516,-0.34621853,19424,-0.3497438
Hf2Ni7,mS26,C12/m1,,,,,
Hf9Ni11,tI40,I4/m,,,,,
HfNi,oS8,Cmcm,,mp-1018056,-0.51942899,30515,-0.51903074
Hf2Ni,tI12,I4/mcm,,mp-861,-0.34446509,88683,-0.34184014
Ag0.610Mg0.390,cP2,Pm-3m,-0.041,,,,
Ag0.561Mg0.439,cP2,Pm-3m,-0.0438,,,,
Ag0.542Mg0.458,cP2,Pm-3m,-0.0449,,,,
Ag0.510Mg0.490,cP2,Pm-3m,-0.0455,mp-2696,-0.25172764,94482,-0.25753188
Ag0.497Mg0.503,cP2,Pm-3m,-0.0453,mp-2696,-0.25172764,94482,-0.25753188
Ag0.485Mg0.515,cP2,Pm-3m,-0.0455,mp-2696,-0.25172764,94482,-0.25753188
Ag0.480Mg0.520,cP2,Pm-3m,-0.0452,mp-2696,-0.25172764,94482,-0.25753188
Ag0.452Mg0.548,cP2,Pm-3m,-0.0444,,,,
Hf2Pd,tI6,I4/mmm,,mp-11454,-0.53118521,17382,-0.52756749
HfPd,cP2,Pm-3m,,mp-1002106,-0.62011466,307534,-0.62936267
HfPd2,tI6,I4/mmm,,,,,
HfPd3,hP16,P63/mmc,,mp-11453,-0.88831847,17381,-0.88228811
GeRu,cP8,P213,,,,683580,-0.27869893
ZrRu,cP2,Pm-3m,,mp-214,-0.66012382,116234,-0.64287548
ZrRu2,hP12,P63/mmc,,mp-569979,-0.37699088,31033,-0.37261451
Zr3Au,cP8,Pm-3n,,mp-11263,-0.34064662,10833,-0.344695
Zr2Au,tI6,I4/mmm,,mp-2348,-0.41852153,18742,-0.41759104
AuZr,,,,,,,
Au0.588Zr0.412,,,,,,,
ZrAu2,tI6,I4/mmm,,mp-1018103,-0.57450582,28235,-0.57476874
ZrAu3,oP8,Pmmn,,,,28234,-0.49745752
ZrAu4,oP20,Pnma,,mp-17813,-0.42172582,31356,-0.41869664
Al3FeSi2,tI24,I4/mcm,-0.2123,,,,
Al2Fe3Si4,oS36,Cmcm,-0.3716,mp-29111,-0.43019911,14987,-0.4330145
Al0.71Fe0.19Si0.10,hP245,P63/mmc,-0.255,,,,
Al0.31Mn0.6Ni0.2,oS156,Cmcm,-0.2398,mp-30179,-0.22249812,,
VSi2,hP9,P6222,-0.4319,mp-10711,-0.48601618,,
Sn3Ru2,tP20,P-4c2,,mp-680677,-0.17968633,18093,-0.22988746
Sn7Ru3,cI40,Im-3m,,mp-22344,-0.20901573,647455,-0.27008554
Si3Ru4,oP28,Pnma,,mp-510412,-0.55339038,5838,-0.54075562
SiRu,cP2,Pm-3m,,mp-381,-0.63762195,74704,-0.6368074
Si3Ru2,tP20,P-4c2,,mp-20191,-0.615632,16443,-0.60255945
AlNb4,cP8,Pm-3n,,,,,
Nb2Al,tP30,P42/mnm,,mp-18427,-0.28263381,10511,-0.29648968
NbAl3,tI8,I4/mmm,,mp-1842,-0.42336587,18710,-0.43058276
OsTi,cP2,Pm-3m,,mp-291,-0.71361444,90586,-0.73613297
HfOs,cP2,Pm-3m,,mp-11452,-0.70975701,17380,-0.70811812
Hf54Os17,oI142,Immm,,,,,
Al4Ba,tI10,I4/m,,,,,
TiAl3,tI8,I4/mmm,,mp-542915,-0.39576492,18722,-0.41231514
TiAl3,tI8,I4/mmm,,mp-542915,-0.39576492,18722,-0.41231514
TiAl2,tI24,I41/amd,,mp-567705,-0.42977359,18487,-0.44963193
TiAl2,tI24,I41/amd,,mp-567705,-0.42977359,18487,-0.44963193
TiAl,tP2,P4/mmm,,mp-1953,-0.40280557,18721,-0.43603073
TiAl,tP2,P4/mmm,,mp-1953,-0.40280557,18721,-0.43603073
Al0.23Ni0.02Ti0.75,hP8,P63/mmc,,,,,
Al0.27Ni0.02Ti0.71,hP8,P63/mmc,,,,,
Al0.37Ni0.02Ti0.61,hP8,P63/mmc,,,,,
Ni3Sn2,hP6,P63/mmc,,,,,
Ni3Sn2,oP20,Pnma,,mp-669720,-0.25487862,17811,-0.31329683
Ni3Sn,hP8,P63/mmc,,mp-20112,-0.19098214,17810,-0.22263402
Ni3Sn2,hP6,P63/mmc,,,,,
Ni3Sn,hP8,P63/mmc,,mp-20112,-0.19098214,17810,-0.22263402
Ni3Sn4,mS14,C12/m1,,mp-20174,-0.22376278,17812,-0.28860227
Sc5Sn3,hP16,P63/mcm,-0.7276,mp-17695,-0.68496888,31054,-0.71993662
Sn9Ti11,oI44,Immm,-0.4498,,,,
V3Sn,cP8,Pm-3n,-0.2249,mp-21342,-0.06768964,18133,-0.07946155
Y5Sn3,hP16,P63/mcm,-0.7545,mp-567412,-0.76823437,31089,-0.80510922
Zr5Sn3,hP16,P63/mcm,-0.7379,mp-510522,-0.56603354,94311,-0.5993577
Nb3Sn,cP8,Pm-3n,-0.1575,mp-1326,-0.14884203,17754,-0.19526682
Sn7Ru3,cI40,Im-3m,-0.1938,mp-22344,-0.20901573,647455,-0.27008554
Sn2Rh,tI12,I4/mcm,-0.4363,mp-565,-0.39452096,18060,-0.46589572
SnPd3,cP4,Pm-3m,-0.5991,mp-718,-0.52282047,17954,-0.53933084
Hf5Sn3,hP16,P63/mcm,-0.5099,mp-21104,-0.37901034,17391,-0.41516328
Ir5Sn7,tI24,I4mm,-0.1555,mp-20466,-0.25279987,13860,-0.31193171
Sn2Ir,cF12,Fm-3m,-0.1337,mp-2083,-0.28526758,19398,-0.351585
SnPt,hP4,P63/mmc,-0.6094,mp-19856,-0.58626824,7829,-0.62787003
Pr5Sn3,tI32,I4/mcm,-0.7804,mp-570696,-0.67825908,92492,-0.7158068
Nd5Sn3,hP16,P63/mcm,-0.768,mp-510503,-0.69045193,647405,-0.72797909
Sm5Sn3,hP16,P63/mcm,-0.8074,,,31076,-0.74505748
Gd5Sn3,hP16,P63/mcm,-0.8136,,,30420,-0.75843331
Tb5Sn3,hP16,P63/mcm,-0.7576,,,31084,-0.34830875
Dy5Sn3,hP16,P63/mcm,-0.7784,mp-30623,-0.72459532,31219,-0.75720558
Ho5Sn3,hP16,P63/mcm,-0.7618,mp-30735,-0.71602343,17478,-0.75273452
Er5Sn3,hP16,P63/mcm,-0.7493,mp-31385,-0.70634021,647468,-0.74499058
Tm5Sn3,hP16,P63/mcm,-0.7545,,,31088,-0.73109966
Lu5Sn3,hP16,P63/mcm,-0.7784,,,30711,-0.70397538
Lu5Sn3,hP16,P63/mcm,-0.7628,,,30711,-0.70397538
Sc5Ge3,hP16,P63/mcm,-0.968,mp-17190,-0.84441926,647319,-0.84486917
Cr5Ge3,tI32,I4/mcm,-0.1627,mp-568324,0.01164082,13726,0.01146355
Y5Ge3,hP16,P63/mcm,-0.9307,mp-17751,-0.83198247,10313,-0.83402587
Zr5Ge3,hP16,P63/mcm,-0.8405,mp-17706,-0.79858593,13725,-0.79984176
Nb5Ge3,tI32,I4/mcm,-0.7172,mp-16842,-0.46914122,655868,-0.48565297
Ge3Mo5,hP16,P63/mcm,-0.1731,,,,
GeRu,cP8,P213,-0.2954,,,683580,-0.27869893
GeRh,oP8,Pnma,-0.5897,mp-22239,-0.55039662,646171,-0.55538291
GePd,oP8,Pnma,-0.4819,mp-1424,-0.46246676,13801,-0.46030866
GePd2,hP9,P-62m,-0.5421,mp-423,-0.54497816,646837,-0.54239792
La5Ge3,hP16,P63/mcm,-0.7027,,,8070,-0.69572926
Hf3Ge2,tP10,P4/mbm,-0.7732,mp-976273,-0.69955296,30438,-0.69728076
Ta5Ge3,tI32,I4/mcm,-0.4353,mp-17593,-0.36231627,48717,-0.36229547
Ge2Os,mS12,C12/m1,-0.0383,mp-10032,-0.08637972,8193,-0.0823748
GeIr,oP8,Pnma,-0.3431,mp-208,-0.31015357,646856,-0.31695899
GeIr,oP8,Pnma,-0.3368,mp-208,-0.31015357,646856,-0.31695899
GePt,oP8,Pnma,-0.4705,mp-542640,-0.47655987,2258,-0.47509124
GePt2,hP9,P-62m,-0.3845,mp-20061,-0.35448466,13687,-0.3551848
Cu3Ge,,,-0.0425,,,,
Ge8La5,,,-0.7815,,,,
Ce5Ge3,hP16,P63/mcm,-0.7607,mp-510493,-0.59199312,662552,-0.65986646
CeGe1.6,tI12,I41/amd,-0.7939,,,,
Pr5Ge3,hP16,P63/mcm,-0.7296,mp-17124,-0.68400837,20668,-0.68533545
Ge1.6Pr,tI12,I41/amd,-0.8468,,,,
Nd5Ge3,hP16,P63/mcm,-0.7473,mp-1464,-0.70498837,647275,-0.70618325
Ge8Nd5,tI12,I41/amd,-0.8312,,,,
Gd5Ge3,hP16,P63/mcm,-0.8499,,,8025,-0.77906924
Sm5Ge3,hP16,P63/mcm,-0.9411,,,30497,-0.74262386
Tb5Ge3,hP16,P63/mcm,-0.8468,mp-2610,-0.79227955,10064,-0.37857456
Dy5Ge3,hP16,P63/mcm,-0.9577,,,29859,-0.79716707
Ho5Ge3,hP16,P63/mcm,-0.9514,,,30444,-0.8021457
Er5Ge3,hP16,P63/mcm,-0.9908,mp-11854,-0.80121533,18316,-0.80431566
Tm5Ge3,hP16,P63/mcm,-0.9463,,,30501,-0.80150275
Lu5Ge3,hP16,P63/mcm,-0.9649,,,30459,-0.79262795
NdIr2,cF24,Fd-3m,-0.7006,mp-890,-0.69447488,17503,-0.69973281
YAl3,hP8,P63/mmc,-0.4809,mp-865527,-0.43663624,,
YAl2,cF24,Fd-3m,-0.5545,mp-2322,-0.5314414,10612,-0.53390158
Y3Al2,tP20,P42/mnm,-0.4861,mp-16723,-0.35436314,,
Al4NiY,oS24,Cmcm,-0.625,,,,
Sc2Al,hP6,P63/mmc,-0.3835,mp-11220,-0.34999804,10540,-0.351949
AlSc,,,-0.4768,,,,
ScAl2,cF24,Fd-3m,-0.4975,mp-813,-0.48538706,10541,-0.48600004
ScAl3,cP4,Pm-3m,-0.4508,mp-2121,-0.45116262,18716,-0.45477582
AlLa,oS16,Cmcm,-0.4768,mp-12684,-0.41285323,647422,-0.41003104
LaAl2,cF24,Fd-3m,-0.5234,mp-2694,-0.49784908,10483,-0.49709903
LaAl3,hP8,P63/mmc,-0.456,mp-959,-0.4468069,10484,-0.44815358
Al7La2,oI28,Immm,-0.4249,,,,
YbAl2,cF24,Fd-3m,-0.4094,mp-969,-0.34637732,10617,-0.35140065
YbAl3,cP4,Pm-3m,-0.3368,mp-1259,-0.17169078,10618,-0.17298079
AlSm2,oP12,Pnma,-0.3938,,,,
SmAl,oP16,Pbcm,-0.5078,mp-978951,-0.39960339,658970,-0.40410721
SmAl2,cF24,Fd-3m,-0.57,mp-2358,-0.50959215,10582,-0.51399839
SmAl3,hP8,P63/mmc,-0.4975,mp-867870,-0.44082113,,
ErAl2,cF24,Fd-3m,-0.5089,mp-1208,-0.50800421,10452,-0.51084323
Al7Ce2,oI28,Immm,-0.4094,,,,
CeAl2,cF24,Fd-3m,-0.5068,mp-2088,-0.45683008,10402,-0.47386387
Ce3Al,hP8,P63/mmc,-0.17,mp-21393,-0.15424701,18919,-0.16062138
GdAl2,cF24,Fd-3m,-0.5327,mp-19923,-0.52226962,10468,-0.52271679
AlGd,oS16,Cmcm,-0.4084,,,,
AlGd2,oP12,Pnma,-0.3596,,,,
CoLaNi4,,P6/mmm,-0.2529,,,,
Co2LaNi3,,P6/mmm,-0.172,,,,
Co0.42La0.16Ni0.42,,P6/mmm,-0.1244,,,,
Co3LaNi2,,P6/mmm,-0.115,,,,
Co0.58La0.17Ni0.25,,P6/mmm,-0.0881,,,,
Co17Dy2,hR57,R-3m,-0.0902,,,,
Co3Dy,hR54,R-3m,-0.1378,,,,
Co2Dy,cF24,Fd-3m,-0.1803,mp-2628,-0.20161828,20722,-0.21227463
Co3Dy5,hR36,R-3m,-0.1441,,,,
ErCo3,hR36,R-3m,-0.1565,mp-411,-0.20561058,113163,-0.21463602
Co2Er,cF24,Fd-3m,-0.1948,,,,
CoEr3,hR36,R-3m,-0.0725,,,,
Co17Gd2,hP38,P63/mmc,-0.0466,,,,
Co5Gd,hP38,P63/mmc,-0.086,,,,
GdCo2,cF24,Fd-3m,-0.1213,mp-542633,-0.16629482,31242,-0.16700065
Co7Gd12,mP38,P121/c1,-0.0653,,,,
DyNi5,hP6,P6/mmm,-0.2601,mp-1179,-0.33433602,,
DyNi2,cF24,Fd-3m,-0.3379,mp-421,-0.45253956,19331,-0.45261573
DyNi,oP8,Pnma,-0.3462,mp-2738,-0.45827261,89117,-0.46149673
Dy3Ni,oP16,Pnma,-0.2301,,,29890,-0.24881051
ErNi9,hP38,P63/mmc,-0.1337,,,,
ErNi5,hP6,P6/mmm,-0.2094,,,,
ErNi2,cF24,Fd-3m,-0.3244,,,,
ErNi,oP8,Pnma,-0.3171,mp-567314,-0.48549384,30015,-0.49334426
Er3Ni,oP16,Pnma,-0.1772,,,,
GdNi5,hP6,P6/mmm,-0.2394,,,,
GdNi2,cF24,Fd-3m,-0.3317,mp-543019,-0.40707405,18494,-0.41479822
GdNi,oS8,Cmcm,-0.2674,mp-542632,-0.39817732,31223,-0.4264578
Gd3Ni,oP16,Pnma,-0.1441,,,,
TaAlNi2,cF16,Fm-3m,-0.4011,mp-5921,-0.46326458,10523,-0.4683723
AlNi2V,cP2,Pm-3m,-0.4115,,,,
ZrAlNi2,cF16,Fm-3m,-0.5203,mp-3944,-0.59657081,10534,-0.6063671
FeGaNi2,cP2,Pm-3m,-0.257,,,,
GaHfNi2,cF16,Fm-3m,-0.7182,mp-3498,-0.55812311,30279,-0.56785364
NbGaNi2,cF16,Fm-3m,-0.3721,mp-3539,-0.33300579,30304,-0.34667213
HfInNi2,cF16,Fm-3m,-0.3596,mp-640024,-0.39977053,647474,-0.43095053
MnNi2Sn,cF16,Fm-3m,-0.3078,mp-20440,-0.17266856,647910,-0.20790812
Co2FeAl,cP2,Pm-3m,-0.1524,,,,
Ce2Fe17,,,-0.0166,,,,
Nd2Fe17,hR19,R-3m,-0.0311,mp-1510,0.03668239,18663,0.04087623
Sm2Fe17,hR19,R-3m,-0.0321,mp-1426,0.01621323,18642,0.02019311
Fe2Gd,cF24,Fd-3m,-0.0187,mp-20089,-0.07146536,18836,-0.03296878
HoFe2,cF24,Fd-3m,-0.0269,mp-1926,-0.10130516,31298,-0.09891662
ErFe2,cF24,Fd-3m,-0.0197,mp-474,-0.12142022,20826,-0.11960373
TmFe2,cF24,Fd-3m,-0.0228,mp-571183,-0.14341286,17236,-0.13997887
Fe2Lu,cF24,Fd-3m,-0.0373,mp-2463,-0.17493036,30221,-0.17014908
TbDy2Fe6,,,-0.141,,,,
Fe5Ga,cI2,Im-3m,-0.1078,,,,
TiFe2,hP12,P63/mmc,-0.2819,mp-2454,-0.28543016,18688,-0.29783282
TiFe,cP2,Pm-3m,-0.2332,mp-305,-0.41788011,19423,-0.44919251
FeNiTi2,,,-0.3545,,,,
LaMg,cP2,Pm-3m,-0.211,mp-1104,-0.12607536,104100,-0.1153915
Co2FeAl,cP2,Pm-3m,-0.2332,,,,
GaFeCo2,cF16,Fm-3m,-0.2674,mp-30551,-0.22535881,17097,-0.23947064
FeCo2Si,cF16,Fm-3m,-0.398,mp-5436,-0.3497696,647048,-0.36174807
FeCo2Ge,cF16,Fm-3m,-0.1202,mp-22300,-0.15857999,29249,-0.17199427
MnCo2Si,cF16,Fm-3m,-0.4394,mp-4492,-0.4354005,647071,-0.44920504
MnCo2Ge,cF16,Fm-3m,-0.3275,mp-19850,-0.24303171,647056,-0.25696368
MnCo2Sn,cF16,Fm-3m,-0.1617,mp-20840,-0.10441762,29396,-0.13898515
TiAlCo2,cF16,Fm-3m,-0.57,mp-5407,-0.61306221,27707,-0.63709835
TiGaCo2,cF16,Fm-3m,-0.5617,mp-20145,-0.51703112,29293,-0.54134649
TiCo2Si,cF16,Fm-3m,-0.6364,mp-3657,-0.65953515,647094,-0.68559285
TiCo2Ge,cF16,Fm-3m,-0.6146,mp-4612,-0.49619322,647063,-0.52142632
TiCo2Sn,cF16,Fm-3m,-0.398,mp-21467,-0.36833086,18296,-0.37173531
VGaCo2,cF16,Fm-3m,-0.2943,mp-22790,-0.302636,29296,-0.30455297
MnAlCu2,cF16,Fm-3m,-0.2747,mp-3574,-0.12779898,10435,-0.12939585
Cu2NiSn,cF16,Fm-3m,-0.1803,mp-4367,0.04125642,19462,0.00643917
Fe2CoAl,cP2,Pm-3m,-0.2425,,,,
Fe2CoGa,cF16,F-43m,-0.1461,,,,
Fe2CoSi,cF16,F-43m,-0.4695,,,,
Fe2CoGe,cF16,F-43m,-0.0922,,,,
MnFe2Si,cF16,Fm-3m,-0.2653,mp-5529,-0.32760082,31335,-0.3390292
Fe2NiGa,cP2,Pm-3m,-0.1513,,,,
Mn2CoSn,cF16,Fm-3m,-0.2259,,,472691,0.11432415
Mn2GaCo,cF16,Fm-3m,-0.1202,,,472554,-0.08439467
Mn2AlV,cF16,Fm-3m,-0.2871,mp-10895,-0.31383058,22373,-0.30950568
MnInNi2,cF16,Fm-3m,-0.2239,mp-22731,-0.09505111,646824,-0.10712478
Ni2CuSn,cF16,F-43m,-0.1296,,,,
MnInCu2,cF16,Fm-3m,-0.1948,mp-22673,0.06969568,29699,0.06588514
Cu0.55Ni0.20Sn0.25,cF16,Fm-3m,-0.1762,,,,
Cu0.6Ni0.15Sn0.25,cF16,Fm-3m,-0.1337,,,,
CoFe2Si,cF16,F-43m,-0.3876,,,,
CuFe2Ga,cF16,F-43m,-0.1182,,,,
MnGaFe2,cF16,Fm-3m,-0.058,mp-1018046,-0.06796609,525371,-0.07357737
Fe2GaNi,cP2,Pm-3m,-0.1513,,,,
Fe2NiSi,cP2,Pm-3m,-0.2767,,,,
Fe2GaV,cP2,Pm-3m,-0.3109,,,,
Mn2GaCo,cF16,F-43m,-0.1182,mp-20160,-0.00660202,20349,-0.17154466
Mn2NiSn,cF16,F-43m,-0.2166,,,676576,0.04352649
Mn2VGa,cF16,Fm-3m,-0.2218,mp-21235,-0.22451226,17257,-0.22432807
Au4In3Sn3,hP10,P63/mmc,-0.2176,,,,
SnAu,hP4,P63/mmc,-0.1596,mp-1775,-0.1827522,10120,-0.22961262
Sn2Au,oP24,Pbca,-0.1472,mp-1462,-0.12815058,10801,-0.19073514
Sn4Au,oS20,Ccce,-0.0819,mp-1393,-0.0691933,19456,-0.14436161
SnAu5,hR18,R32,-0.0601,mp-30418,-0.04715316,10803,-0.06419591
Au5Sn,hP2,P63/mmc,-0.0135,,,,
Fe3Pt,cP4,Pm-3m,-0.0964,mp-1649,-0.08104349,30238,-0.08061884
FePt,tP2,P4/mmm,,mp-2260,-0.23952203,110129,-0.24057406
FePt3,cP4,Pm-3m,,mp-649,0.08097756,7825,-0.20058362
AlNd2,oP12,Pnma,-1.0733,,,,
Li2Ca,hP12,P63/mmc,,mp-570466,-0.01687109,,
Li2Ca,hP12,P63/mmc,,mp-570466,-0.01687109,,
B3Li,tP20,P4/mbm,-0.4519,,,689212,-0.23996133
B14Li3,tI160,I-42d,-0.3441,,,,
B13Li,hR357,R-3m,-0.1461,,,,
Al2Fe,aP18,P1,-0.2881,,,,
Al5Fe2,oS24,Cmcm,-0.3161,,,,
Li13Si4,oP34,Pbam,-0.3151,mp-672287,-0.24844258,31357,-0.25311439
Li7Si3,hR21,R-3m,-0.3047,,,,
Li12Si7,oP152,Pnma,-0.2653,mp-1314,-0.24244816,7559,-0.23955457
Li22Si5,cF416,F-43m,-0.2529,mp-542598,-0.1959975,,
AlNi,cP2,Pm-3m,-0.6871,mp-1487,-0.65864811,94913,-0.66944636
AlNi3,cP4,Pm-3m,-0.4198,mp-2593,-0.43251692,17890,-0.43864812
TiAl2Ni,cF116,Fm-3m,-0.4218,,,509949,-0.33701128
AlNiTi,hP12,P63/mmc,-0.5897,,,,
AlNiTi,hP12,P63/mmc,,,,,
TiAlNi2,cF16,Fm-3m,-0.7473,mp-7187,-0.62052541,21081,-0.64117697
ZrMn2,,,-0.256,,,,
ZrMo2,cF24,Fd-3m,-0.0601,mp-2049,-0.12738089,17718,-0.13765654
Os4Zr11,cF120,Fm-3m,-0.0922,,,,
HfCr2,,,-0.0497,,,,
HfMn2,hP12,P63/mmc,-0.2104,mp-11449,-0.26402934,17364,-0.2551247
HfMo2,cF24,Fd-3m,-0.0663,mp-2363,-0.16067013,17365,-0.1700668
NbRh3,,,-0.2239,,,,
TaRh3,cP4,Pm-3m,-0.1451,mp-1020,-0.61434864,18066,-0.61292525
Mn2Nb,hP12,P63/mmc,-0.1078,mp-12659,-0.13790279,19107,-0.14415719
MoRh,oP4,Pmma,-0.0497,mp-12595,-0.1906269,18874,-0.19700494
MnPd,cP2,Pm-3m,-0.4685,mp-1902,-0.18880831,90200,-0.19334822
MoPd2,oI6,Immm,-0.0954,,,,
TaMn2,hP12,P63/mmc,-0.1503,mp-12678,-0.22563882,19153,-0.22469722
IrMn3,cP4,Pm-3m,-0.1368,,,,
CrPt3,cP4,Pm-3m,-0.0912,mp-2515,-0.2581554,29575,-0.25473662
MnPt,tP2,P4/mmm,-0.5555,mp-1670,-0.35329579,668583,-0.35251563
MoPt,oP4,Pmma,-0.1855,mp-999502,-0.31842792,,
TaPt3,mP16,P121/m1,-0.2187,mp-567638,-0.72230996,,
YMn2,cF24,Fd-3m,-0.029,mp-558,0.1623936,,
CoCr,tP30,P42/mnm,-0.0031,,,,
CuMn,cF4,Fm-3m,-0.0383,,,,
Cu3Sn,oS80,Cmcm,-0.1078,,,,
TbFe2,,,-0.057,,,,
DyFe2,cF24,Fd-3m,-0.0166,mp-1757,-0.08229063,29839,-0.07837486
Tb2Fe17,,,-0.0218,,,,
Dy2Fe17,,,-0.0549,,,,
FePd3,cP4,Pm-3m,-0.1658,mp-21845,-0.11839909,30235,-0.10785679
FePt,tP2,P4/mmm,-0.2384,mp-2260,-0.23952203,110129,-0.24057406
FePt3,cP4,Pm-3m,-0.2145,mp-649,0.08097756,7825,-0.20058362
MnNi,tP2,P4/mmm,-0.2581,mp-1797,-0.03866552,17670,-0.01265056
TiNi,cP2,Pm-3m,-0.3389,mp-571,-0.34371282,116608,-0.3780194
TiPd,,,-0.625,,,,
CeCo5,hP6,P6/mmm,-0.0974,mp-764,-0.10506817,,
Ce2Co17,,,-0.0705,,,,
PrCo5,hP6,P6/mmm,-0.1088,mp-2837,-0.00869899,31347,0.10190198
Pr2Co17,hR19,R-3m,-0.0705,,,29447,-0.05120681
NdCo5,hP6,P6/mmm,-0.1316,mp-569,-0.02884124,18557,0.07583558
Nd2Co17,hR19,R-3m,-0.0684,mp-356,-0.04709472,29416,0.12501809
SmCo5,hP6,P6/mmm,-0.1264,mp-1429,-0.05964595,,
Sm2Co17,,,-0.0746,,,,
Co5Gd,hP6,P6/mmm,-0.1036,,,18800,0.01275074
TbCo5,hP6,P6/mmm,-0.1524,mp-1200,-0.09841932,31309,0.11207467
Tb2Co17,,,-0.0798,,,,
Co17Dy2,,,-0.084,,,,
HoCo3,hR12,R-3m,-0.1814,mp-30558,-0.18762872,31229,-0.20234444
Co3Er,hR12,R-3m,-0.2042,mp-411,-0.20561058,113163,-0.21463602
TmCo3,hR12,R-3m,-0.2373,,,29523,-0.2299119
Co3Lu,hR12,R-3m,-0.2384,,,29389,-0.24771716
HfAlAu2,cF16,Fm-3m,-0.626,mp-10872,-0.50109168,10385,-0.50464884
Fe2RuSi,cF16,Fm-3m,-0.3109,,,526506,-0.05831597
Fe2RuGe,cF16,F-43m,-0.1669,,,,
Pd2CuAl,tP2,P4/mmm,-0.5721,,,,
HfAlPd2,cF16,Fm-3m,-0.8457,mp-16501,-0.8315606,10474,-0.82956983
Pd2HfGa,cF16,Fm-3m,-0.8281,,,468834,-0.74053448
Pd2HfIn,cF16,Fm-3m,-0.7918,mp-864734,-0.69834147,467796,-0.69394758
HfSnPd2,cF16,Fm-3m,-0.8043,,,463005,-0.72693835
Pd2MnAl,cP2,Pm-3m,-0.9027,,,,
Pd2MnGa,cP2,Pm-3m,-0.5649,,,,
Pd2MnIn,cP2,Pm-3m,-0.4249,,,,
MnSnPd2,cF16,Fm-3m,-0.5659,mp-20481,-0.4152267,30746,-0.43623346
Pd2TiAl,cP2,Pm-3m,-0.8436,,,,
TiGaPd2,cF16,Fm-3m,-0.6799,mp-866140,-0.66035607,463385,-0.66685186
TiInPd2,cF16,Fm-3m,-0.4249,mp-866168,-0.5749228,463323,-0.58036463
